régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
2;119305;PATHE;ILE-DE-FRANCE;RUE DE L'HAUTIL;78172;Conflans-Sainte-Honorine;36372.0;78;00851;Paris;10949158.0;03-Grande couronne;13.0;3105.0;53.0;21079.0;756769.0;472752.0;60.07737672183302;De 700 000 à 1 million d'entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;B;313.0;246.0;193.0;24.92005247700801;58.02145696951938;13.797457395728586;3.2610331577440212;106.0;4.14155473125512;49.004829;2.077668;49.004829, 2.077668
2;125135;L ETOILE;ILE-DE-FRANCE;1 ALLEE DU PROGRES;93027;La Courneuve;46951.0;93;00851;Paris;10949158.0;02-Petite Couronne;1.0;195.0;47.0;1086.0;18940.0;9703.0;95.19736164072967;De 10 à 20 000 entrées;;OUI;C;JPPR;FIXE;NON;B;250.0;128.0;3.0;34.8168570303269;34.48207955888145;14.992779309439412;15.708284101352238;168.0;50.98463962189839;48.926821;2.391627;48.926821, 2.391627
2;128535;LA LUCARNE MJC;ILE-DE-FRANCE;100 RUE JULIETTE SAVAR;94028;Créteil;92984.0;94;00851;Paris;10949158.0;02-Petite Couronne;1.0;92.0;48.0;1310.0;17349.0;7312.0;137.26750547045953;De 10 à 20 000 entrées;;OUI;C;JP;FIXE;NON;B;252.0;148.0;0.0;53.310748383122885;16.261164151524486;18.02433015090853;12.403757314444103;192.0;75.57745611333539;48.777428;2.466468;48.777428, 2.466468
2;154488;MEGA CGR;ILE-DE-FRANCE;PLACE DE L'AGORA - CE 169;91228;Évry;66543.0;91;00851;Paris;10949158.0;03-Grande couronne;10.0;2052.0;45.0;14637.0;151794.0;94643.0;60.38587111566625;De 150 à 200 000 entrées;CGR;NON;NON;;FIXE;OUI;B;213.0;141.0;132.0;15.062126153724268;59.74476120053346;9.922358813199002;15.270753832543276;22.0;1.8895329644936818;48.627929;2.429517;48.627929, 2.429517
2;162853;CINEPARADIS;ILE-DE-FRANCE;10 AVENUE MARECHAL DE VILLARS;77186;Fontainebleau;16368.0;77;77406;Fontainebleau;38052.0;03-Grande couronne;6.0;1080.0;53.0;8815.0;129550.0;86459.0;49.8398084641275;De 100 à 150 000 entrées;;OUI;D;JPPR;FIXE;NON;C;213.0;156.0;147.0;32.44535519125683;50.29784597788791;13.345088321260642;3.9117105095946116;70.0;9.722486974202567;48.400175;2.71613;48.400175, 2.71613
2;164022;THEATRE DE FONTENAY;ILE-DE-FRANCE;PLACE DU 8 MAI 1945;78242;Fontenay-le-Fleury;13682.0;78;00851;Paris;10949158.0;03-Grande couronne;1.0;346.0;16.0;196.0;3497.0;7612.0;-54.05937992643195;De 2 à 5 000 entrées;;OUI;C;JP;FIXE;NON;B;53.0;33.0;3.0;64.28794992175274;21.533646322378715;10.046948356807512;4.131455399061033;30.0;39.248826291079816;48.811271;2.045243;48.811271, 2.045243
2;172914;CINE GARCHES;ILE-DE-FRANCE;86 GRANDE RUE;92033;Garches;17960.0;92;00851;Paris;10949158.0;02-Petite Couronne;2.0;434.0;47.0;1123.0;18909.0;12182.0;55.220817599737316;De 10 à 20 000 entrées;;NON;NON;;FIXE;NON;B;204.0;175.0;30.0;61.02993585174625;21.23425991922072;12.889047279638868;4.846756949394155;103.0;40.870753148016156;48.844239;2.188722;48.844239, 2.188722
2;175513;CINEMA JEAN VIGO;ILE-DE-FRANCE;1 RUE PIERRE ET MARIE CURIE;92036;Gennevilliers;50096.0;92;00851;Paris;10949158.0;02-Petite Couronne;2.0;290.0;49.0;1987.0;39509.0;23631.0;67.19140112564006;De 30 à 40 000 entrées;;OUI;C;RDJPPR;FIXE;NON;B;321.0;214.0;13.0;48.64239167714645;26.454784497542015;12.97587744369498;11.926946381616554;218.0;63.32171030067452;48.928469;2.293206;48.928469, 2.293206
2;175794;LE LAVOIR NUMERIQUE;ILE-DE-FRANCE;10 RUE VICTOR MARQUIGNY;94037;Gentilly;18950.0;94;00851;Paris;10949158.0;02-Petite Couronne;1.0;90.0;20.0;30.0;130.0;22.0;490.90909090909093;Moins de 2000 entrées;;NON;NON;;FIXE;NON;B;30.0;2.0;0.0;62.30769230769231;24.615384615384617;10.76923076923077;2.307692307692308;25.0;91.53846153846153;48.815668;2.346427;48.815668, 2.346427
2;177201;LE CENTRAL;ILE-DE-FRANCE;SQUARE DE LA MAIRIE;91272;Gif-sur-Yvette;21996.0;91;00851;Paris;10949158.0;03-Grande couronne;1.0;155.0;49.0;1043.0;13485.0;7246.0;86.10267733922163;De 10 à 20 000 entrées;UGC;OUI;C;;FIXE;NON;B;84.0;66.0;34.0;77.78821319558583;4.946388041011192;10.550207403928935;6.715191359474056;54.0;61.38373640134617;48.701701;2.13387;48.701701, 2.13387
